Date,Price,Open,High,Low,Vol.,Change %
2019-11-20,70.44,72,72.24,69.91,33.67M,-2.03%
2019-11-19,71.9,70.35,72,69.56,38.68M,2.71%
2019-11-18,70,70.58,70.63,69.22,22.04M,-0.61%
2019-11-15,70.43,70.13,70.56,69.67,24.06M,0.80%
2019-11-14,69.87,69.22,70.77,68.58,32.36M,0.94%
2019-11-13,69.22,71,71.27,69.04,42.34M,-1.10%
2019-11-12,69.99,69.38,70.07,68.81,36.80M,1.41%
2019-11-11,69.02,68.79,69.84,68.4,49.97M,2.36%
2019-11-08,67.43,66.9,67.49,66.5,30.37M,0.48%
2019-11-07,67.11,65.83,68.3,65.6,72.34M,2.74%
2019-11-06,65.32,63.6,65.34,62.9,39.70M,2.96%
2019-11-05,63.44,63.92,64.7,63.22,34.72M,-0.08%
2019-11-04,63.49,62.96,64.39,61.85,43.94M,1.32%
2019-11-01,62.66,63.26,63.3,61.96,31.92M,-0.51%
2019-10-31,62.98,62.62,63.8,62.6,25.33M,-0.03%
2019-10-30,63,62.6,63.76,61.99,48.21M,-0.38%
2019-10-29,63.24,64,64.86,62.95,63.42M,-3.51%
2019-10-28,65.54,65.51,68.17,64.52,94.35M,-0.14%
2019-10-25,65.63,59.54,66,59.22,150.03M,9.49%
2019-10-24,59.94,59.67,60.99,57.84,149.10M,17.67%
2019-10-23,50.94,50.9,51.23,50.27,56.08M,-0.35%
2019-10-22,51.12,50.86,51.67,50.17,23.13M,0.83%
2019-10-21,50.7,51.67,51.9,50.04,25.54M,-1.34%
2019-10-18,51.39,52.14,52.56,51.02,28.77M,-1.91%
2019-10-17,52.39,52.5,52.96,52.03,23.90M,0.85%
2019-10-16,51.95,51.48,52.42,51.38,33.52M,0.72%
2019-10-15,51.58,51.54,52,50.82,32.40M,0.37%
2019-10-14,51.39,49.58,51.71,49.43,51.13M,3.65%
2019-10-11,49.58,49.43,50.22,49.36,42.44M,1.29%
2019-10-10,48.95,49.06,49.86,48.32,31.57M,0.08%
2019-10-09,48.91,48.26,49.46,48.13,34.68M,1.87%
2019-10-08,48.01,47.17,48.79,46.9,43.51M,0.99%
2019-10-07,47.54,45.96,47.71,45.71,40.43M,2.70%
2019-10-04,46.29,46.32,46.96,45.61,40.11M,-0.69%
2019-10-03,46.61,46.37,46.9,44.86,75.69M,-4.15%
